ASIN,Product Title,Current Price,Original Price,Currency,Discount %,Savings Amount,URL,Image URL,Category,Brand,Prime
B0DNZVZ376,"OSNETRA - Tree of Life Papyrus Artwork | Wall Art, Handcrafted Vastu Art, Painting, Home, Office, Prosperity painting (WITHOUT FRAME) (21 CM x 30 CM)",898,2600,₹,65,1702,https://www.amazon.in/dp/B0DNZVZ376?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/511eQapu24L._SL160_.jpg,Collectibles,,false
B0DDHM6D3L,"Portronics Conch Theta C in Ear Type C Wired Earphones with in Line HD Mic, Powerful Audio, 14.2mm Driver, Unique Earbuds Design, TPE Anti Tangle Wire, in line Controls, Wide Compatibility(White)",279,799,₹,65,520,https://www.amazon.in/dp/B0DDHM6D3L?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31jwfIOURoL._SL160_.jpg,Computers,,false
B0DL3CH93D,"Portronics Tune, 2-in-1 Wireless Car Receiver, Converts Wired Auto Android & CarPlay to Wireless, Bluetooth Connectivity, Only for Cars with OEM Installed Wired Android Auto/CarPlay (Black)",1799,4999,₹,64,3200,https://www.amazon.in/dp/B0DL3CH93D?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41IA7z9icoL._SL160_.jpg,Automotive,,false
B0CNQ75PC8,EvoFox Starter Series Spectre USB Wired Gaming Mouse with Upto 3600 DPI Gaming Sensor | 6 Buttons Design | Upto 7 Million Clicks | 7 Colours Rainbow Lighting with Breathing Effect | 1.5m Braided Cable (Black),298,799,₹,62,501,https://www.amazon.in/dp/B0CNQ75PC8?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/3183YJQkCoL._SL160_.jpg,VideoGames,,false
B0BVW64V54,VGRASSP 24 Pcs Air Dry Clay for Kids with 6 Sculpting Tools - Creative Art & Crafts Play Dough Birthday Return Gift for Boys and Girls - Color As Per Stock,149,399,₹,62,250,https://www.amazon.in/dp/B0BVW64V54?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51C2bqcv9kL._SL160_.jpg,ToysAndGames,,false
B0CG19T4SX,Amazon Basics Scoopable Smart White Bentonite Scented Cat Litter | 10 Kg | 5 Kg X 2 Packs | Organic | Bentonite From Turkey | Dust-Free | Lavender Fragrance,569,1499,₹,62,930,https://www.amazon.in/dp/B0CG19T4SX?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41xo9jW3HAL._SL160_.jpg,PetSupplies,,false
B0BQM83QVL,"Boldfit Eye Mask for Sleeping with Adjustable Strap Super Soft Sleeping Mask Blind Fold for Comfortable Sleep Travelling Sleep Mask Pad for Girls - Black, Silk",189,499,₹,62,310,https://www.amazon.in/dp/B0BQM83QVL?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41KOG34wB5L._SL160_.jpg,Luggage,,false
B0F3CWPXFY,"Hallstatt Aluminium Pack of 2, Self Adhesive Bathroom Shelf for Wall Shelf Organizer Wall Mounted Bathroom Shelves Rack Holder Stand for Bathroom Accessories Organiser Without Drill (Pack of 2)",746,1999,₹,62,1253,https://www.amazon.in/dp/B0F3CWPXFY?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51oxJMEGsWL._SL160_.jpg,Furniture,,false
B0BRVDXZ28,Privesh® Stainless Steel Modern Kitchen Storage Rack Folding Perforated Design Trolley Spice Fruits and Vegetable Onion Potato Organizer Stand Trolley with Wheel Kitchen Trolley (4 Layer Trolley),1128,2999,₹,62,1871,https://www.amazon.in/dp/B0BRVDXZ28?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51hBK3sQVmL._SL160_.jpg,Furniture,,false
B07X34F9MF,"Mee Mee Wet Wipes for Baby Skin with Aloe Vera 72Pcs, Pack of 3 | Paraben Free, Fragrance Free, pH Balanced, Dermatologically Safe, Baby Wipes Combo | Pack With Lid",199,537,₹,62,338,https://www.amazon.in/dp/B07X34F9MF?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41qpxJ95HcL._SL160_.jpg,Baby,,false
B0DY1XYMYW,"Oslen Metal (Pack of 2 Self-Adhesive Shelf/Storage Organizer for Bathroom and Kitchen Corner Wall Mounted Rack Shelf Bathroom Accessories Storage Rack (No Drilling-Shelf Adhesive) (8 and 9 INCH,Black)",299,755,₹,60,456,https://www.amazon.in/dp/B0DY1XYMYW?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51OtdGHVvGL._SL160_.jpg,ToolsAndHomeImprovement,,false
B0B6NSDR2H,Slovic Pull up Bar for Home Kids [100 KG] | No Screw Pull Up Bar Wall Mounted with Anti-Skid Grip | Pull-up Bar for Home Workout | Gym Equipment for Home Workout (Length 62 to 100 CM),599,1499,₹,60,900,https://www.amazon.in/dp/B0B6NSDR2H?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/418jFsJpObL._SL160_.jpg,SportsAndOutdoors,,false
B0D37LQZBY,"RENESMEE Memory Foam Shoe Insoles, Elastic Shock Absorbing Height Increasing Sports Shoe Insoles For Men And Women Cuttable Soft Breathable Honeycomb Orthotic Replacement Inserts (Size EU 40-45)",236,599,₹,60,363,https://www.amazon.in/dp/B0D37LQZBY?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41kTdYYSPuL._SL160_.jpg,Shoes,,false
B0BRY84H2H,"Boldfit Full Face Helmet Mask for Bikers in Riding UV Protected, Balaclava, Black Mask for Bike Riding and Cycling Accessories for Men & Women",199,499,₹,60,300,https://www.amazon.in/dp/B0BRY84H2H?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31m7-ET2lZL._SL160_.jpg,Automotive,,false
B0CMXQN2B4,"Ant Esports KM1610 LED Gaming Keyboard and Mouse Combo, 104 Keys Rainbow Backlit Keyboard and 7 Colour RGB Mouse for PC Laptop Xbox PS4 Gamers and Work, White",899,2199,₹,59,1300,https://www.amazon.in/dp/B0CMXQN2B4?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41nv4lCdoTL._SL160_.jpg,VideoGames,,false
